id,player_name,pos,age,state,club_name
87,Sadio Mané ,F,27,Starter,Liverpool
88,Sead Kolasinac ,D,25,Reserve,Arsenal
89,Sokratis ,D,30,Starter,Arsenal
90,Theo Walcott ,F,30,Starter,Everton
91,Pedro ,F,31,Starter,Chelsea
92,Heung-min Son ,F,26,Reserve,Tottenham
93,Leroy Sané ,F,23,Starter,Manchester City
94,Alisson ,GK,26,Starter,Liverpool
95,Andy Carroll ,F,30,Reserve,West Ham
96,César Azpilicueta ,D,29,Starter,Chelsea
97,Gabriel Jesus ,F,22,Reserve,Manchester City
98,Harry Maguire ,D,26,Starter,Leicester
99,Laurent Koscielny ,D,33,Reserve,Arsenal
100,Lucas Digne ,D,25,Starter,Everton
101,Richarlison ,F,21,Starter,Everton
102,Shkodran Mustafi ,D,26,Starter,Arsenal
103,Jan Vertonghen ,D,31,Starter,Tottenham
104,Denis Suárez ,M,25,Reserve,Arsenal
105,Antonio Valencia ,D,33,Reserve,Manchester United
106,Felipe Anderson ,F,25,Starter,West Ham
107,Andreas Christensen ,D,23,Reserve,Chelsea
108,Danilo ,D,27,Reserve,Manchester City
109,Eric Bailly ,D,25,Reserve,Manchester United
110,Erik Lamela ,F,27,Reserve,Tottenham
111,Fabian Delph ,M,29,Starter,Manchester City
112,Gary Cahill ,D,33,Reserve,Chelsea
113,Jonny Evans ,D,31,Reserve,Leicester
114,Lucas Moura ,F,26,Reserve,Tottenham
115,Moussa Sissoko ,M,29,Starter,Tottenham
116,Xherdan Shaqiri ,F,27,Reserve,Liverpool
117,Christian Eriksen ,M,27,Starter,Tottenham
118,Danny Ings ,F,26,Reserve,Southampton
119,Fernando Llorente ,F,34,Reserve,Tottenham
120,Georginio Wijnaldum ,M,28,Starter,Liverpool
121,Jesse Lingard ,F,26,Reserve,Manchester United
122,Lazar Markovic ,F,25,Reserve,Fulham
123,Lucas Torreira ,M,23,Reserve,Arsenal
124,Nathaniel Clyne ,D,28,Reserve,Bournemouth
125,Pablo Zabaleta ,D,34,Starter,West Ham
126,Phil Jones ,D,27,Reserve,Manchester United
127,Stephan Lichtsteiner ,D,35,Reserve,Arsenal
128,Wilfred Ndidi ,M,22,Starter,Leicester
129,Abdoulaye Doucouré ,M,26,Starter,Watford
130,Andre Gray ,F,27,Starter,Watford
131,Angelo Ogbonna ,D,30,Starter,West Ham
132,Asmir Begovic ,GK,31,Starter,Bournemouth
133,Charlie Austin ,F,29,Reserve,Southampton
134,Chris Smalling ,D,29,Starter,Manchester United
135,Davide Zappacosta ,D,26,Reserve,Chelsea
136,Fraser Forster ,GK,31,Reserve,Southampton
137,Idrissa Gueye ,M,29,Starter,Everton
138,Jonjo Shelvey ,M,27,Starter,Newcastle
139,Lucas Pérez ,F,30,Reserve,West Ham
140,Manuel Lanzini ,M,26,Reserve,West Ham
141,Michail Antonio ,F,29,Starter,West Ham
142,Nacho Monreal ,D,33,Starter,Arsenal
143,Ricardo Pereira ,D,25,Starter,Leicester
144,Ryan Bertrand ,D,29,Reserve,Southampton
145,Seamus Coleman ,D,30,Reserve,Everton
146,Serge Aurier ,D,26,Starter,Tottenham
147,Sergio Romero ,GK,32,Reserve,Manchester United
148,Winston Reid ,D,30,Reserve,West Ham
149,André Zambo Anguissa ,M,23,Reserve,Fulham
150,Issa Diop ,D,22,Starter,West Ham
151,Alberto Moreno ,D,26,Reserve,Liverpool
152,Ben Chilwell ,D,22,Starter,Leicester
153,Cheikhou Kouyaté ,M,29,Reserve,Crystal Palace
154,Davinson Sánchez ,D,22,Reserve,Tottenham
155,Jean Michaël Seri ,M,27,Starter,Fulham
156,Kieran Trippier ,D,28,Reserve,Tottenham
157,Leighton Baines ,D,34,Reserve,Everton
158,Lukasz Fabianski ,GK,33,Starter,West Ham
159,Mario Lemina ,M,25,Reserve,Southampton
160,Oriol Romeu ,M,27,Starter,Southampton
161,Troy Deeney ,F,30,Starter,Watford
162,Victor Wanyama ,M,27,Reserve,Tottenham
163,Aleksandar Mitrovic ,F,24,Starter,Fulham
164,Ben Davies ,D,25,Reserve,Tottenham
165,Cenk Tosun ,F,27,Starter,Everton
