id,player_name,pos,age,state,club_name
527,Lukas Hradecky ,GK,29,Starter,Bayer Leverkusen
528,Mario Gómez ,F,33,Starter,Stuttgart
529,Marcel Sabitzer ,F,25,Starter,Leipzig
530,Omar Mascarell ,M,26,Reserve,Schalke 04
531,Serge Gnabry ,F,23,Reserve,Bayern Munich
532,Yunus Malli ,M,27,Reserve,Wolfsburg
533,Lars Bender ,M,29,Reserve,Bayer Leverkusen
534,Abdou Diallo ,D,22,Starter,Borussia Dortmund
535,Breel Embolo ,F,22,Reserve,Schalke 04
536,Daniel Ginczek ,F,27,Reserve,Wolfsburg
537,Leon Bailey ,F,21,Starter,Bayer Leverkusen
538,Mark Uth ,F,27,Starter,Schalke 04
539,Matija Nastasic ,D,26,Starter,Schalke 04
540,Maximilian Arnold ,M,24,Starter,Wolfsburg
541,Paul-Georges Ntep ,F,26,Reserve,Wolfsburg
542,Sebastian Jung ,D,28,Reserve,Wolfsburg
543,Emil Forsberg ,F,27,Starter,Leipzig
544,John Anthony Brooks ,D,26,Starter,Wolfsburg
545,Julian Brandt ,F,22,Starter,Bayer Leverkusen
546,Julian Weigl ,M,23,Starter,Borussia Dortmund
547,Maximilian Philipp ,F,25,Reserve,Borussia Dortmund
548,Paco Alcácer ,F,25,Starter,Borussia Dortmund
549,Raffael ,F,34,Reserve,Mönchengladbach
550,Jean-Kévin Augustin ,F,21,Reserve,Leipzig
551,Bruma ,F,24,Reserve,Leipzig
552,Kevin Trapp ,GK,28,Starter,Eintracht Frankfurt
553,Admir Mehmedi ,F,28,Reserve,Wolfsburg
554,Salif Sané ,D,28,Starter,Schalke 04
555,Ömer Toprak ,D,29,Reserve,Borussia Dortmund
556,Davy Klaassen ,M,26,Starter,Werder Bremen
557,Kevin Kampl ,M,28,Reserve,Leipzig
558,Alassane Plea ,F,26,Reserve,Mönchengladbach
559,Aleksandar Dragovic ,D,28,Starter,Bayer Leverkusen
560,Andrej Kramaric ,F,27,Starter,Hoffenheim
561,Ante Rebic ,F,25,Reserve,Eintracht Frankfurt
562,Christoph Kramer ,M,28,Starter,Mönchengladbach
563,Gonzalo Castro ,M,31,Starter,Stuttgart
564,Holger Badstuber ,D,30,Reserve,Stuttgart
565,Jeffrey Bruma ,D,27,Starter,Schalke 04
566,Jonathas ,F,30,Starter,Hannover
567,Mitchell Weiser ,D,24,Starter,Bayer Leverkusen
568,Niklas Süle ,D,23,Starter,Bayern Munich
569,Nordi Mukiele ,D,21,Reserve,Leipzig
570,Sandro Wagner ,F,31,Reserve,Bayern Munich
571,Ádám Szalai ,F,31,Reserve,Hoffenheim
572,Jonathan Tah ,D,23,Starter,Bayer Leverkusen
573,Kerem Demirbay ,M,25,Starter,Hoffenheim
574,Lars Stindl ,F,30,Starter,Mönchengladbach
575,Marcel Halstenberg ,D,27,Starter,Leipzig
576,Matthias Ginter ,D,25,Starter,Mönchengladbach
577,Max Kruse ,F,31,Starter,Werder Bremen
578,Ralf Fährmann ,GK,30,Starter,Schalke 04
579,Sebastian Rode ,M,28,Starter,Eintracht Frankfurt
580,Timo Werner ,F,23,Starter,Leipzig
581,Vedad Ibisevic ,F,34,Reserve,Hertha Berlin
582,Wout Weghorst ,F,26,Starter,Wolfsburg
583,Yannick Gerhardt ,M,25,Starter,Wolfsburg
584,Charles Aránguiz ,M,29,Starter,Bayer Leverkusen
585,Lucas Alario ,F,26,Starter,Bayer Leverkusen
586,Lukasz Piszczek ,D,33,Reserve,Borussia Dortmund
587,Salomon Kalou ,F,33,Starter,Hertha Berlin
588,Ibrahima Traoré ,F,30,Reserve,Mönchengladbach
589,Bastian Oczipka ,M,30,Starter,Schalke 04
590,Daniel Didavi ,M,29,Reserve,Stuttgart
591,Jiri Pavlenka ,GK,26,Starter,Werder Bremen
592,Josip Drmic ,F,26,Reserve,Mönchengladbach
593,Marcel Schmelzer ,D,31,Reserve,Borussia Dortmund
594,Niclas Füllkrug ,F,26,Reserve,Hannover
595,Roman Bürki ,GK,28,Starter,Borussia Dortmund
596,Sven Ulreich ,GK,30,Reserve,Bayern Munich
597,Daniel Caligiuri ,M,31,Starter,Schalke 04
598,Fabian Johnson ,F,31,Starter,Mönchengladbach
599,Josuha Guilavogui ,M,28,Starter,Wolfsburg
600,Leonardo Bittencourt ,M,25,Reserve,Hoffenheim
601,Manuel Akanji ,D,23,Reserve,Borussia Dortmund
602,Vladimir Darida ,M,28,Reserve,Hertha Berlin
603,Willi Orban ,D,26,Starter,Leipzig
604,Yann Sommer ,GK,30,Starter,Mönchengladbach
605,Dayot Upamecano ,D,20,Reserve,Leipzig
606,Diego Demme ,M,27,Starter,Leipzig
607,Christian Gentner ,M,33,Reserve,Stuttgart
608,Kevin Wimmer ,D,26,Starter,Hannover
609,Denis Zakaria ,M,22,Starter,Mönchengladbach
610,Felix Klaus ,F,26,Reserve,Wolfsburg
611,Jean-Philippe Gbamin ,M,23,Starter,Mainz
612,Kevin Vogt ,D,27,Starter,Hoffenheim
613,Konrad Laimer ,D,21,Reserve,Leipzig
614,Ludwig Augustinsson ,D,24,Starter,Werder Bremen
615,Lukas Rupp ,M,28,Reserve,Hoffenheim
616,Martin Harnik ,F,31,Reserve,Werder Bremen
617,Marwin Hitz ,GK,31,Reserve,Borussia Dortmund
618,Nicolai Müller ,F,31,Starter,Hannover
619,Nuri Sahin ,M,30,Reserve,Werder Bremen
620,Panagiotis Retsos ,D,20,Reserve,Bayer Leverkusen
621,Patrick Herrmann ,F,28,Starter,Mönchengladbach
622,Pavel Kaderabek ,D,26,Starter,Hoffenheim
623,Santiago Ascacíbar ,M,22,Starter,Stuttgart
624,Walace ,M,24,Starter,Hannover
625,Wendell ,D,25,Starter,Bayer Leverkusen
626,Yussuf Poulsen ,F,24,Starter,Leipzig
627,Milot Rashica ,F,22,Starter,Werder Bremen
628,Alessandro Schöpf ,M,25,Reserve,Schalke 04
629,Alfred Finnbogason ,F,30,Reserve,Augsburg
630,Daniel Baier ,M,34,Reserve,Augsburg
631,Fabian Lustenberger ,M,30,Starter,Hertha Berlin
632,Jadon Sancho ,F,19,Starter,Borussia Dortmund
633,Julian Baumgartlinger ,M,31,Reserve,Bayer Leverkusen
634,Niklas Moisander ,D,33,Starter,Werder Bremen
635,Péter Gulácsi ,GK,28,Starter,Leipzig
636,Robin Knoche ,D,26,Starter,Wolfsburg
637,Rune Jarstein ,GK,34,Starter,Hertha Berlin
638,Stefan Ilsanker ,M,29,Reserve,Leipzig
639,Vincenzo Grifo ,F,26,Starter,Freiburg
640,Yuya Osako ,F,28,Reserve,Werder Bremen
641,Benjamin Stambouli ,D,28,Reserve,Schalke 04
642,Jetro Willems ,D,25,Reserve,Eintracht Frankfurt
643,Pirmin Schwegler ,M,32,Reserve,Hannover
644,Raphaël Guerreiro ,D,25,Starter,Borussia Dortmund
645,Tony Jantschke ,D,29,Reserve,Mönchengladbach
646,William ,D,24,Starter,Wolfsburg
647,André Hahn ,F,28,Reserve,Augsburg
648,Emiliano Insúa ,D,30,Starter,Stuttgart
649,Josip Brekalo ,F,20,Starter,Wolfsburg
650,Michael Lang ,D,28,Reserve,Mönchengladbach
651,Reiss Nelson ,F,19,Reserve,Hoffenheim
652,Filip Kostic ,F,26,Starter,Eintracht Frankfurt
653,Bobby Wood ,F,26,Reserve,Hannover
654,Thorgan Hazard ,F,26,Starter,Mönchengladbach
655,Amine Harit ,M,21,Reserve,Schalke 04
656,Andreas Beck ,D,32,Starter,Stuttgart
657,Aron Jóhannsson ,F,28,Reserve,Werder Bremen
658,Dennis Aogo ,D,32,Reserve,Stuttgart
659,Genki Haraguchi ,F,27,Starter,Hannover
660,Ishak Belfodil ,F,27,Starter,Hoffenheim
661,Jonathan de Guzmán ,M,31,Reserve,Eintracht Frankfurt
662,Jérôme Roussillon ,D,26,Starter,Wolfsburg
663,Koen Casteels ,GK,26,Starter,Wolfsburg
664,Marcel Tisserand ,D,26,Reserve,Wolfsburg
665,Marcelo Saracchi ,D,20,Reserve,Leipzig
666,Nico Elvedi ,D,22,Starter,Mönchengladbach
667,Oscar Wendt ,D,33,Starter,Mönchengladbach
668,Pablo Maffeo ,D,21,Reserve,Stuttgart
669,Paul Verhaegh ,D,35,Reserve,Wolfsburg
670,Paulinho ,F,18,Reserve,Bayer Leverkusen
671,Renato Sanches ,M,21,Reserve,Bayern Munich
672,Renato Steffen ,F,27,Starter,Wolfsburg
673,René Adler ,GK,34,Reserve,Mainz
674,Ron-Robert Zieler ,GK,30,Starter,Stuttgart
675,Suat Serdar ,M,22,Starter,Schalke 04
676,Sébastien Haller ,F,24,Starter,Eintracht Frankfurt
677,Theodor Gebre Selassie ,D,32,Starter,Werder Bremen
678,Yvon Mvogo ,GK,24,Reserve,Leipzig
679,Achraf Hakimi ,D,20,Reserve,Borussia Dortmund
680,Alexandru Maxim ,M,28,Reserve,Mainz
681,Christian Pulisic ,F,20,Reserve,Borussia Dortmund
682,Davie Selke ,F,24,Starter,Hertha Berlin
683,Dominik Kohr ,M,25,Reserve,Bayer Leverkusen
684,Jonas Hofmann ,M,26,Reserve,Mönchengladbach
685,Kai Havertz ,M,19,Starter,Bayer Leverkusen
686,Lukas Klostermann ,D,22,Starter,Leipzig
687,Marvin Plattenhardt ,D,27,Reserve,Hertha Berlin
688,Matheus Cunha ,F,19,Reserve,Leipzig
689,Matthias Ostrzolek ,D,28,Starter,Hannover
690,Michaël Cuisance ,M,19,Reserve,Mönchengladbach
691,Nadiem Amiri ,M,22,Starter,Hoffenheim
692,Oliver Sorg ,D,28,Reserve,Hannover
693,Tin Jedvaj ,D,23,Reserve,Bayer Leverkusen
694,Marko Grujic ,M,22,Starter,Hertha Berlin
695,Markus Suttner ,D,31,Starter,Düsseldorf
696,David Abraham ,D,32,Starter,Eintracht Frankfurt
697,Nico Schulz ,D,26,Starter,Hoffenheim
698,Anthony Ujah ,F,28,Reserve,Mainz
699,Benjamin Pavard ,D,23,Starter,Stuttgart
700,Gelson Fernandes ,M,32,Reserve,Eintracht Frankfurt
701,Ja-cheol Koo ,M,30,Reserve,Augsburg
702,Jonathan Schmid ,D,28,Starter,Augsburg
703,Joshua Brenet ,D,25,Reserve,Hoffenheim
704,Karim Rekik ,D,24,Starter,Hertha Berlin
705,Martin Hinteregger ,D,26,Starter,Eintracht Frankfurt
706,Kasim Adams ,D,23,Starter,Hoffenheim
707,Niklas Stark ,D,23,Starter,Hertha Berlin
708,Per Ciljan Skjelbred ,M,31,Reserve,Hertha Berlin
709,Philipp Max ,D,25,Starter,Augsburg
710,Timo Baumgartl ,D,23,Reserve,Stuttgart
711,Valentino Lazaro ,M,23,Starter,Hertha Berlin
712,Reece Oxford ,D,20,Starter,Augsburg
713,Almamy Touré ,D,22,Reserve,Eintracht Frankfurt
714,Benjamin Hübner ,D,29,Reserve,Hoffenheim
715,Edgar Prib ,M,29,Reserve,Hannover
716,Julian Korb ,D,27,Starter,Hannover
717,Makoto Hasebe ,M,35,Starter,Eintracht Frankfurt
718,Sascha Riether ,D,36,Reserve,Schalke 04
719,Chadrac Akolo ,F,24,Reserve,Stuttgart
720,Danny Latza ,M,29,Starter,Mainz
721,Erik Thommy ,M,24,Reserve,Stuttgart
722,Felipe Trevizan Martins ,D,31,Starter,Hannover
723,Florian Grillitsch ,M,23,Reserve,Hoffenheim
724,Frederik Rönnow ,GK,26,Reserve,Eintracht Frankfurt
725,Guido Burgstaller ,F,29,Reserve,Schalke 04
726,Ihlas Bebou ,F,24,Reserve,Hannover
727,Jeffrey Gouweleeuw ,D,27,Reserve,Augsburg
728,Joel Pohjanpalo ,F,24,Reserve,Bayer Leverkusen
729,Kevin Möhwald ,M,25,Reserve,Werder Bremen
730,Marc Oliver Kempf ,D,24,Starter,Stuttgart
731,Philipp Bargfrede ,M,30,Starter,Werder Bremen
732,Sergio Gómez ,M,18,Reserve,Borussia Dortmund
733,Arne Maier ,M,20,Reserve,Hertha Berlin
734,Ermin Bicakcic ,D,29,Reserve,Hoffenheim
735,Ibrahima Konaté ,D,19,Starter,Leipzig
736,Jean-Philippe Mateta ,F,21,Starter,Mainz
737,Michael Gregoritsch ,F,24,Starter,Augsburg
738,Nicólas González ,F,21,Reserve,Stuttgart
739,Ondrej Duda ,M,24,Starter,Hertha Berlin
740,Stefan Bell ,D,27,Starter,Mainz
741,Tobias Strobl ,M,28,Reserve,Mönchengladbach
742,Thomas Kraft ,GK,30,Reserve,Hertha Berlin
743,Fin Bartels ,F,32,Reserve,Werder Bremen
744,Aarón Martín ,D,21,Starter,Mainz
745,Lucas Torró ,M,24,Reserve,Eintracht Frankfurt
746,Mathew Leckie ,F,28,Reserve,Hertha Berlin
747,Atinc Nukan ,D,25,Reserve,Leipzig
748,Takuma Asano ,F,24,Reserve,Hannover
749,Dawid Kownacki ,F,22,Reserve,Düsseldorf
750,Daniel Brosinski ,D,30,Starter,Mainz
751,Dennis Geiger ,M,20,Reserve,Hoffenheim
752,Waldemar Anton ,D,22,Starter,Hannover
753,Dominique Heintz ,D,25,Starter,Freiburg
754,Dong-won Ji ,F,27,Starter,Augsburg
755,Lukas Klünter ,D,22,Reserve,Hertha Berlin
756,Marvin Stefaniak ,F,24,Reserve,Wolfsburg
757,Moussa Niakhaté ,D,23,Starter,Mainz
758,Nils Petersen ,F,30,Starter,Freiburg
759,Ivo Ilicevic ,F,32,Reserve,Nürnberg
760,Alexander Esswein ,F,29,Starter,Stuttgart
761,Amadou Haidara ,M,21,Reserve,Leipzig
762,Anastasios Donis ,F,22,Reserve,Stuttgart
763,Branimir Hrgota ,F,26,Reserve,Eintracht Frankfurt
764,Christian Günter ,D,26,Starter,Freiburg
765,Danny da Costa ,D,25,Starter,Eintracht Frankfurt
766,Fabian Giefer ,GK,28,Reserve,Augsburg
767,Florian Niederlechner ,F,28,Reserve,Freiburg
768,Giulio Donati ,D,29,Reserve,Mainz
769,Goncalo Paciencia ,F,24,Reserve,Eintracht Frankfurt
770,Hamza Mendyl ,D,21,Starter,Schalke 04
771,Isaac Kiese Thelin ,F,26,Reserve,Bayer Leverkusen
772,Iver Fossum ,M,22,Reserve,Hannover
773,Jean-Paul Boëtius ,F,25,Starter,Mainz
774,Konstantinos Stafylidis ,D,25,Starter,Augsburg
775,Levin Öztunali ,F,23,Reserve,Mainz
776,Marco Russ ,D,33,Reserve,Eintracht Frankfurt
777,Marco Terrazzino ,F,27,Reserve,Freiburg
778,Marius Müller ,GK,25,Reserve,Leipzig
779,Miiko Albornoz ,D,28,Reserve,Hannover
780,Mijat Gacinovic ,M,24,Starter,Eintracht Frankfurt
781,Milos Veljkovic ,D,23,Reserve,Werder Bremen
782,Niko Bungert ,D,32,Reserve,Mainz
783,Pascal Köpke ,F,23,Reserve,Hertha Berlin
784,Pavao Pervan ,GK,31,Reserve,Wolfsburg
785,Peter Pekarik ,D,32,Reserve,Hertha Berlin
786,Ramazan Özcan ,GK,34,Reserve,Bayer Leverkusen
787,Robin Koch ,D,22,Reserve,Freiburg
788,Robin Quaison ,M,25,Starter,Mainz
789,Sebastian Langkamp ,D,31,Starter,Werder Bremen
790,Simon Falette ,D,27,Reserve,Eintracht Frankfurt
791,Steven Zuber ,M,27,Starter,Stuttgart
792,Takashi Usami ,F,26,Reserve,Düsseldorf
793,Taleb Tawatha ,D,26,Reserve,Eintracht Frankfurt
794,Thanos Petsos ,M,27,Reserve,Werder Bremen
795,Timothy Chandler ,D,29,Reserve,Eintracht Frankfurt
796,Virgil Misidjan ,F,25,Reserve,Nürnberg
797,Weston McKennie ,M,20,Starter,Schalke 04
798,Dodi Lukebakio ,F,21,Starter,Düsseldorf
799,Borna Sosa ,D,21,Reserve,Stuttgart
800,Christian Mathenia ,GK,27,Starter,Nürnberg
801,Josip Elez ,D,24,Reserve,Hannover
802,Julian Schieber ,F,30,Reserve,Augsburg
803,Pascal Stenzel ,D,23,Reserve,Freiburg
804,Gaëtan Bussmann ,D,28,Reserve,Mainz
805,Marvin Ducksch ,F,25,Reserve,Düsseldorf
806,Mike Frantz ,M,32,Starter,Freiburg
807,Michael Esser ,GK,31,Starter,Hannover
808,Jérôme Gondorf ,M,30,Reserve,Freiburg
809,Luca Waldschmidt ,F,22,Reserve,Freiburg
810,Philipp Lienhart ,D,22,Starter,Freiburg
811,Alfredo Morales ,M,28,Starter,Düsseldorf
812,Tyler Adams ,M,20,Starter,Leipzig
813,Amir Abrashi ,M,29,Starter,Freiburg
814,Felix Uduokhai ,D,21,Reserve,Wolfsburg
815,Jan-Ingwer Callsen-Bracker ,D,34,Reserve,Augsburg
816,Marvin Bakalorz ,M,29,Starter,Hannover
817,Phillipp Mwene ,D,25,Reserve,Mainz
818,Alexander Hack ,D,25,Reserve,Mainz
819,Kevin Akpoguma ,D,23,Reserve,Hannover
820,Nicolas Höfler ,M,29,Reserve,Freiburg
821,Roland Sallai ,M,21,Reserve,Freiburg
822,Alexander Schwolow ,GK,26,Starter,Freiburg
823,Derrick Luckassen ,D,23,Reserve,Hertha Berlin
824,Eduard Löwen ,M,22,Starter,Nürnberg
825,Kaan Ayhan ,D,24,Reserve,Düsseldorf
826,Marcin Kaminski ,D,27,Starter,Düsseldorf
827,Pierre Kunde Malong ,M,23,Starter,Mainz
828,Rouwen Hennings ,F,31,Reserve,Düsseldorf
829,Tobias Sippel ,GK,31,Reserve,Mönchengladbach
830,Benito Raman ,F,24,Reserve,Düsseldorf
831,Yuya Kubo ,F,25,Starter,Nürnberg
832,Cedric Teuchert ,F,22,Reserve,Schalke 04
833,Marcel Sobottka ,M,24,Reserve,Düsseldorf
834,Alphonso Davies ,F,18,Reserve,Bayern Munich
835,Emil Berggreen ,F,25,Reserve,Mainz
836,Hanno Behrens ,M,29,Starter,Nürnberg
837,Jan Morávek ,M,29,Starter,Augsburg
838,Janik Haberer ,M,25,Starter,Freiburg
839,Maximilian Eggestein ,M,22,Starter,Werder Bremen
840,Rani Khedira ,M,25,Starter,Augsburg
841,Robert Bauer ,D,24,Reserve,Nürnberg
842,Sam Schreck ,M,20,Reserve,Bayer Leverkusen
843,Diego Contento ,D,28,Reserve,Düsseldorf
844,Edgar Salli ,F,26,Reserve,Nürnberg
845,Ewerton ,D,30,Starter,Nürnberg
846,Javairô Dilrosun ,F,20,Reserve,Hertha Berlin
847,Johannes Eggestein ,F,20,Starter,Werder Bremen
848,Kenan Karaman ,F,25,Starter,Düsseldorf
849,Marco Richter ,F,21,Reserve,Augsburg
850,Evan N'Dicka ,D,19,Starter,Eintracht Frankfurt
851,Fredrik Jensen ,M,21,Reserve,Augsburg
852,Georg Teigl ,M,28,Reserve,Augsburg
853,Gerrit Holtmann ,F,24,Reserve,Mainz
854,Jean Zimmer ,D,25,Starter,Düsseldorf
855,Kevin Stöger ,M,25,Reserve,Düsseldorf
856,Michael Rensing ,GK,34,Reserve,Düsseldorf
857,Niko Gießelmann ,D,27,Starter,Düsseldorf
858,Tim Leibold ,D,25,Starter,Nürnberg
859,Manuel Gulde ,D,28,Reserve,Freiburg
860,Lucas Höler ,F,24,Starter,Freiburg
861,Emile Smith Rowe ,M,18,Reserve,Leipzig
862,Joelinton ,F,22,Starter,Hoffenheim
863,Emir Kujovic ,F,30,Reserve,Düsseldorf
864,Brandon Borrello ,F,23,Reserve,Freiburg
865,Christoph Janker ,D,34,Reserve,Augsburg
866,Felix Beijmo ,D,21,Reserve,Werder Bremen
867,Florian Neuhaus ,M,22,Starter,Mönchengladbach
868,Georg Margreitter ,D,30,Reserve,Nürnberg
869,Ismail Azzaoui ,F,21,Reserve,Wolfsburg
870,Issah Abass ,F,20,Reserve,Mainz
871,Jacob Bruun Larsen ,F,20,Reserve,Borussia Dortmund
872,Jan Zimmermann ,GK,33,Reserve,Eintracht Frankfurt
873,Karim Onisiwo ,F,27,Reserve,Mainz
874,Marc Stendera ,M,23,Reserve,Eintracht Frankfurt
875,Matthias Zimmermann ,M,26,Starter,Düsseldorf
876,Maximilian Mittelstädt ,D,22,Starter,Hertha Berlin
877,Mikael Ishak ,F,26,Reserve,Nürnberg
878,Noah Sarenren Bazee ,F,22,Reserve,Hannover
879,Ondrej Petrak ,M,27,Starter,Nürnberg
880,Patrick Erras ,M,24,Reserve,Nürnberg
881,Raphael Wolf ,GK,30,Reserve,Düsseldorf
882,Ridle Baku ,M,21,Reserve,Mainz
883,Sebastian Kerk ,F,24,Reserve,Nürnberg
884,Stefanos Kapino ,GK,25,Reserve,Werder Bremen
885,Thorsten Kirschbaum ,GK,31,Reserve,Bayer Leverkusen
886,Florent Muslija ,M,20,Reserve,Hannover
887,Andre Hoffmann ,D,26,Starter,Düsseldorf
888,Luka Jovic ,F,21,Starter,Eintracht Frankfurt
889,Jaroslav Drobny ,GK,39,Starter,Düsseldorf
890,Lukas Jäger ,D,25,Reserve,Nürnberg
891,Ozan Kabak ,D,19,Starter,Stuttgart
892,Andreas Luthe ,GK,32,Reserve,Augsburg
893,Enrico Valentini ,D,30,Starter,Nürnberg
894,Matheus Pereira ,F,22,Starter,Nürnberg
895,Adam Bodzek ,M,33,Reserve,Düsseldorf
896,Mark Flekken ,GK,25,Reserve,Freiburg
897,Oliver Fink ,M,36,Starter,Düsseldorf
898,Steven Skrzybski ,F,26,Reserve,Schalke 04
899,Adam Zrelak ,F,24,Starter,Nürnberg
900,Tim Kleindienst ,F,23,Reserve,Freiburg
901,Uffe Bech ,F,26,Reserve,Hannover
902,Claudio Pizarro ,F,40,Reserve,Werder Bremen
903,Florian Müller ,GK,21,Starter,Mainz
904,Keanan Bennetts ,F,20,Reserve,Mönchengladbach
905,Marco Friedl ,D,21,Reserve,Werder Bremen
906,Oliver Baumann ,GK,28,Starter,Hoffenheim
907,Lucas Ribeiro ,D,20,Reserve,Hoffenheim
908,Lukas Kübler ,D,26,Starter,Freiburg
909,Robin Zentner ,GK,24,Reserve,Mainz
910,Christian Früchtl ,GK,19,Reserve,Bayern Munich
911,Josh Sargent ,F,19,Reserve,Werder Bremen
912,Alexander Nübel ,GK,22,Reserve,Schalke 04
913,Andreas Poulsen ,D,19,Reserve,Mönchengladbach
914,Aymen Barkok ,M,20,Reserve,Düsseldorf
915,Dan-Axel Zagadou ,D,19,Starter,Borussia Dortmund
916,Davor Lovren ,F,20,Reserve,Düsseldorf
917,Felix Götze ,M,21,Reserve,Augsburg
918,Florian Kath ,F,24,Reserve,Freiburg
919,Gian-Luca Itter ,D,20,Reserve,Wolfsburg
920,Jan-Niklas Beste ,D,20,Reserve,Werder Bremen
921,Jens Grahl ,GK,30,Reserve,Stuttgart
922,Jordan Beyer ,D,18,Reserve,Mönchengladbach
923,Julio Villalba ,F,20,Reserve,Mönchengladbach
924,Kevin Danso ,D,20,Starter,Augsburg
925,Mamadou Doucouré ,D,20,Reserve,Mönchengladbach
926,Patric Klandt ,GK,35,Reserve,Nürnberg
927,Raphael Framberger ,D,23,Reserve,Augsburg
928,Robin Hack ,F,20,Reserve,Hoffenheim
929,Sergio Córdova ,F,21,Starter,Augsburg
930,Timo Hübers ,D,22,Reserve,Hannover
931,Torben Müsel ,F,19,Reserve,Mönchengladbach
932,Federico Palacios ,F,24,Reserve,Nürnberg
933,Kilian Jakob ,D,21,Reserve,Augsburg
934,Törles Knöll ,F,21,Reserve,Nürnberg
935,Simon Asta ,D,18,Reserve,Augsburg
936,Timothy Tillman ,M,20,Reserve,Nürnberg
937,Julius Kade ,M,19,Reserve,Hertha Berlin
938,Hendrik Weydandt ,F,23,Reserve,Hannover
939,Rabbi Matondo ,F,18,Reserve,Schalke 04
940,Gregor Kobel ,GK,21,Starter,Augsburg
941,Luca Plogmann ,GK,19,Reserve,Werder Bremen
942,Elvis Rexhbecaj ,M,21,Reserve,Wolfsburg
943,Florian Baak ,D,20,Reserve,Hertha Berlin
944,Jordan Torunarigha ,D,21,Starter,Hertha Berlin
945,Kevin Goden ,D,20,Reserve,Nürnberg
946,Palko Dárdai ,F,19,Reserve,Hertha Berlin
947,Robin Bormuth ,D,23,Reserve,Düsseldorf
948,Christoph Baumgartner ,M,19,Reserve,Hoffenheim
949,David Otto ,F,20,Reserve,Hoffenheim
950,Samuel Sahin-Radlinger ,GK,26,Reserve,Hannover
951,Thore Jacobsen ,D,21,Reserve,Werder Bremen
952,Marius Gersbeck ,GK,23,Reserve,Hertha Berlin
953,Leonardo Balerdi ,D,20,Reserve,Borussia Dortmund
954,Alexander Fuchs ,M,22,Reserve,Nürnberg
955,Alexander Meyer ,GK,27,Reserve,Stuttgart
956,Constantin Frommann ,GK,20,Reserve,Freiburg
957,Fabian Bredlow ,GK,24,Reserve,Nürnberg
958,Haji Wright ,F,21,Reserve,Schalke 04
959,Jannik Huth ,GK,24,Reserve,Mainz
960,Jean-Manuel Mbom ,M,19,Reserve,Werder Bremen
961,Jonathan Burkardt ,F,18,Reserve,Mainz
962,Jonathan Klinsmann ,GK,22,Reserve,Hertha Berlin
963,Leo Weinkauf ,GK,22,Reserve,Hannover
964,Linton Maina ,M,19,Reserve,Hannover
965,Lukas Mühl ,D,22,Starter,Nürnberg
966,Moritz Nicolas ,GK,21,Reserve,Mönchengladbach
967,Ron-Thorben Hoffmann ,GK,20,Reserve,Bayern Munich
968,Sahverdi Cetin ,M,18,Reserve,Eintracht Frankfurt
969,Stefan Posch ,D,21,Starter,Hoffenheim
970,Patrice Kabuya ,F,19,Reserve,Eintracht Frankfurt
971,Tobias Stirl ,GK,18,Reserve,Eintracht Frankfurt
972,Ahmet Gürleyen ,D,19,Reserve,Mainz
973,Dennis Jastrzembski ,F,19,Reserve,Hertha Berlin
974,Phillip Menzel ,GK,20,Reserve,Wolfsburg
975,Eric Oelschlägel ,GK,23,Reserve,Borussia Dortmund
976,Kianz Froese ,M,22,Reserve,Düsseldorf
977,Chima Okoroji ,D,21,Reserve,Freiburg
978,Finn Dahmen ,GK,21,Reserve,Mainz
979,David Kopacz ,M,19,Reserve,Stuttgart
980,Keven Schlotterbeck ,D,21,Reserve,Freiburg
981,Tuta ,D,19,Reserve,Eintracht Frankfurt
982,Alexander Stolz ,GK,35,Reserve,Hoffenheim
983,Felix Schwarzholz ,M,19,Reserve,Augsburg
984,Simon Rhein ,M,20,Reserve,Nürnberg
985,Leandro Barreiro Martins ,M,19,Reserve,Mainz
986,Florian Mayer ,D,21,Reserve,Mönchengladbach
987,Michael Langer ,GK,34,Reserve,Schalke 04
988,Jan Boller ,D,19,Reserve,Bayer Leverkusen
989,Julian Krahl ,GK,19,Reserve,Leipzig
990,Tim Wiesner ,GK,22,Reserve,Düsseldorf
991,Dennis Smarsch ,GK,20,Reserve,Hertha Berlin
992,Dennis Lippert ,D,23,Reserve,Nürnberg
993,Jozo Stanic ,D,20,Reserve,Augsburg
994,Benjamin Goller ,F,20,Reserve,Schalke 04
995,Georgios Siadas ,D,19,Reserve,Düsseldorf
996,Maurice Covic ,F,20,Reserve,Hertha Berlin
997,Romario Roesch ,M,19,Reserve,Augsburg
998,Nils Stendera ,M,18,Reserve,Eintracht Frankfurt
999,Patrick Finger ,M,18,Reserve,Eintracht Frankfurt
1000,Ahmed Kutucu ,F,19,Reserve,Schalke 04
1001,Antonis Aidonis ,D,17,Reserve,Stuttgart
1002,John Yeboah ,F,18,Reserve,Wolfsburg
1003,Leon Dajaku ,F,18,Reserve,Stuttgart
1004,Benjamin Leneis ,GK,20,Reserve,Augsburg
1005,Mischa Häuser ,F,19,Reserve,Eintracht Frankfurt
1006,Nelson Mandela Mbouhom ,F,19,Reserve,Eintracht Frankfurt
1007,Cristiano Ronaldo ,F,34,Starter,Juventus
1008,Paulo Dybala ,F,25,Starter,Juventus
1009,Miralem Pjanic ,M,29,Starter,Juventus
1010,Douglas Costa ,F,28,Reserve,Juventus
1011,Gianluigi Donnarumma ,GK,20,Starter,AC Milan
